"HSPB7",0,4,1,15,0,0,0,0,0,0,0,2,1,44,0,0,0,0,0,0,0,1,0,0,0,0
"CLCNKB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"EPHA2",6,4,0,154,0,1,0,0,97,0,8,1,1,24,57,0,0,0,0,2,4,1,2,1,2,1
"ARHGEF19",0,21,14,88,13,15,31,1,14,10,5,1,27,0,7,7,2,2,0,24,27,2,0,0,59,7
"CPLANE2",0,9,10,13,0,12,6,0,4,0,2,1,6,2,1,0,0,0,0,5,5,0,1,0,9,2
"FBXO42",37,136,48,67,98,150,136,5,40,22,58,19,123,25,49,14,8,11,0,76,169,17,28,6,82,59
"SZRD1",115,410,141,186,128,242,268,17,115,91,201,82,375,83,76,32,37,30,5,157,623,78,71,50,211,141
"SPATA21",0,3,0,4,1,2,3,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,2,1
"NECAP2",46,539,311,127,134,323,226,98,139,88,186,117,321,28,71,43,23,23,5,94,446,50,26,29,209,168
"LINC01772",5,32,12,7,9,17,10,11,2,8,3,5,27,4,4,6,0,2,0,6,15,3,4,1,21,11
"AL137802.2",0,5,2,3,3,4,6,0,1,0,1,0,5,1,2,2,2,0,0,3,1,2,1,0,13,3
"NBPF1",3,21,8,76,26,4,26,0,26,5,11,21,13,13,11,5,6,1,0,41,11,0,17,2,29,16
"CROCC",4,74,9,60,19,8,48,1,20,8,14,5,95,13,16,10,6,5,0,4,28,0,0,2,26,16
"BX284668.5",9,164,15,168,6,4,63,4,71,35,182,38,107,29,31,20,10,4,0,94,620,4,10,3,77,65
"BX284668.6",1,17,5,13,5,5,6,0,0,14,2,2,25,2,0,8,0,0,0,3,8,4,2,2,8,7
"MFAP2",0,0,2,82,0,1,4,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0
"ATP13A2",11,106,31,54,15,18,100,1,64,19,10,22,89,13,217,12,4,8,1,21,112,4,24,0,40,29
